run	bait	prey	mean	omega
ARID1B-1	ARID1B	Q14192	0.361306496170468	0.1
ARID1B-1	ARID1B	Q8IY63	0.377122176745743	0.1
ARID1B-1	ARID1B	P49257	1.25945094289923	0.1
ARID1B-1	ARID1B	Q8N4V1	1.0352341990223	0.1
ARID1B-1	ARID1B	O75439	0.409135014231892	0.1
ARID1B-1	ARID1B	O75398	10.88293875309	0.192427146912752
ARID1B-1	ARID1B	Q8N3E9	0.203354220072451	0.1
ARID1B-1	ARID1B	P47929	0.0792166182476411	0.1
ARID1B-1	ARID1B	P53990	0.1827603099524	0.1
ARID1B-1	ARID1B	Q13268	0.129507337086399	0.1
ARID1B-1	ARID1B	Q8TAP6	0.0254502867921051	0.1
ARID1B-1	ARID1B	Q86XK2	0.00908882631128449	0.1
ARID1B-1	ARID1B	Q69YI7	0.00389441256394353	0.1
ARID1B-1	ARID1B	Q9H936	4.33159489263972	0.1
ARID1B-1	ARID1B	O14880	1.36646788842012	0.1
ARID1B-1	ARID1B	P19256	0.0444097339642645	0.1
ARID1B-1	ARID1B	Q96IX5	2.6424107627984	0.1
ARID1B-1	ARID1B	P29597	0.453059416623055	0.1
ARID1B-1	ARID1B	P61009	0.352783426411408	0.1
ARID1B-1	ARID1B	O75319	0.492392103648421	0.1
ARID1B-1	ARID1B	Q6Y1H2	0.192865198314435	0.1
ARID1B-1	ARID1B	O95613	0.111303140632708	0.1
ARID1B-1	ARID1B	Q99590	0.0686200643214954	0.1
ARID1B-1	ARID1B	Q9NXE4	1.19212957176037	0.1
ARID1B-1	ARID1B	P03928	0.279092628725519	0.1
ARID1B-1	ARID1B	Q6NYC1	0.0134234878968871	0.1
ARID1B-1	ARID1B	Q9Y237	2.29905073317643	0.1
ARID1B-1	ARID1B	Q9Y224	4.84114071426795	0.1
ARID1B-1	ARID1B	Q9UQ35	3.13774656848704	0.1
ARID1B-1	ARID1B	Q9ULV4	11.556707207515	0.370059211651288
ARID1B-1	ARID1B	Q9ULC4	0.198648286991987	0.1
ARID1B-1	ARID1B	Q9UKY7	0.547570596721522	0.1
ARID1B-1	ARID1B	Q9UMS4	4.32962972819535	0.1
ARID1B-1	ARID1B	Q9Y3C6	1.34317563132638	0.1
ARID1B-1	ARID1B	Q9Y3A5	1.04972216305999	0.1
ARID1B-1	ARID1B	Q9Y388	0.683966958141814	0.1
ARID1B-1	ARID1B	Q9Y383	16.9039096195837	0.1
ARID1B-1	ARID1B	Q9Y314	1.61743849983379	0.1
ARID1B-1	ARID1B	Q9Y2Z0	0.728185642896602	0.1
ARID1B-1	ARID1B	Q9Y2X3	3.97792201362241	0.1
