Protein,Cyto - Endo.C19,Cyto - GalT,Cyto - LAMT,Cyto - PM
C4AMC7;Q6VEQ5,-0.992802732814934,0.244201418309779,-1.17181799201941,0.211792602374168
O00151,0.357081112880579,0.185708368630312,0.953072801577913,-0.854398673131266
O00161,0.188456753873134,-1.33900401216088,-0.924034732813478,-2.53817071177872
O14828,-0.592176188709558,-1.50047430450825,-0.744588880078579,0.731859073978032
O14910,-0.0493680138280218,-0.378291844047888,-0.372384518685066,-1.3578693091022
O14936,0.457074794051566,-0.724128175468691,0.122493051721342,-1.67988698451001
O15116,1.46460270131397,1.85309563311827,1.56807343774243,2.0905977610327
O15118,-0.521463747557014,-0.38725554905818,-3.2815911257532,-0.267556723946835
O43491,0.159161442915746,-0.62583305679141,-0.473138598263365,-1.97159483052239
O43707,0.262369404167957,-0.255793923527332,0.880941515110879,-1.64732598856691
O60331,0.247624178745978,-0.164170700502467,0.21304468480377,-1.26227018119432
O60488,-0.568377897500121,-1.15294542149677,-1.40484580378843,-2.45840816493913
O60493,-3.77209797023372,-0.442136863680672,-3.01000403344881,-0.279594387336516
O60637,-1.69910048642715,-1.1875528520299,-3.83698716556829,-0.311648333606884
O60716,0.404993718668866,-0.360200989574768,0.177312732330398,-1.01932298893784
O60784,-0.15684746777307,-0.252188783958403,-1.26084936205685,0.221683264105075
O60826,-1.14307512745227,-0.10971500794453,-1.16341543952966,0.0893538369135695
O75436,-0.978993605828869,-0.0265746837635122,-1.37725854118434,0.213101577036899
O75695,0.14928967197728,-1.15493408715294,-1.53399332749052,-2.86419856264974
O75955,-0.132863974934157,-0.564265863058246,-2.65003576391928,-0.849518853581124
O94804,0.173613485038835,0.247247845268235,0.270351132627446,-1.01495019164421
O94903,0.96113623736867,0.872762662247935,1.40866768073568,1.03848543398835
O95405,-1.18907294070063,0.0355475079388992,0.0152619957995216,0.335398016266722
O96013,0.159412234126811,-0.209475837261456,1.13543883644883,-1.11148622420082
P01111,-0.31472834398872,-1.26589208969022,-1.17062023620748,-2.67499620804889
P02786,-2.40642852669926,-1.38735695875632,-2.3238728738584,-0.968502506709212
P05023,-0.0929100785135414,-0.839504729979508,-0.861369869119264,-1.82574118554715
P05556,0.160028200170588,-1.54393758291078,-0.935754531368413,-2.64340837533056
P07947,-0.0442622436744642,-1.50526318258947,-1.14108960316698,-2.83365480174229
P08754,0.103672273223554,-0.725532021479524,-0.882088603020769,-2.0083433357414
P10586,-0.326376178507399,-1.1489503806176,-0.63403818914381,-2.42581706632965
P11171,0.205803917383633,-0.0483986185688119,0.34720710772301,-0.88468692230339
P11233,-0.20818952545644,-1.1962344151909,-1.09180838325906,-2.72851138500093
P11234,-0.012647135057175,-0.99443425331392,-1.58465781300411,-2.78428467577144
P12814,0.197309584815708,-0.385995294252226,0.577948558657319,-1.62884950369616
P13797,-0.0968860527556623,-0.425155318240718,-0.80948582697434,-1.60302261046465
P14923,0.766845098587237,0.0393346582793795,0.194500702963346,-0.890183181507643
P15311,0.370241243012033,-0.87113270039749,0.209690331577266,-2.24393332234193
P19022,0.296616340607268,-0.64657701671771,-0.00155537570889865,-1.48411058279699
P20020,-0.00161350904016403,-1.05376299960814,-1.05448285185145,-2.46338923302589
P23458,-0.370637876976325,-0.916756102520281,-1.38347900190639,-2.24167944555147
P23634,-0.174001451896946,-0.88982902295712,-0.504410541108595,-3.15327004885436
P26038,0.178074314903501,-0.933054792359966,0.375674351735156,-2.27972044162098
P27986,-0.135153548179081,-0.749034434401148,-0.622255708399893,-1.43519417090596
P29992,-0.29440893967771,-0.858823999443955,-1.37859414714922,-2.06634731081954
P31751,-0.0995598014911568,-0.400469799584235,-0.0799452921063123,-1.53131601962031
P35221,0.0322484250189138,-0.861267523536298,-0.615503155972898,-1.847515560438
P35222,0.591928398234512,-0.467936609105757,-0.096250271634656,-1.46196435848067
P35241,0.358702676441726,-0.947515675749963,0.0784824323296707,-2.27764194812225
P39880,0.0760213244878707,-1.53206573781384,-0.282781549040186,1.27712453324156
P42892,-2.76544464533164,-0.41537711677875,-2.34965524181315,-0.820044938529028
P46379,-0.00371377320916367,-1.53870310012566,-0.312135214282676,0.36033913491778
P46939,0.395797859930858,-0.300665392717021,-0.144083560667777,-1.2004159757126
P46940,-0.0816780161411697,-0.759992362896214,-0.388836326847859,-1.7599808778701
P49006,0.239440278589989,-0.482010074589178,1.11521259842617,-1.05162121100102
P50148,0.102330349685533,-0.808406790563234,-0.615352299507246,-2.00898966276262
P51809,-0.991288145121431,-0.586247383683086,-2.57348229124778,0.330758049944159
P52799,0.251773604868514,-1.36696802845201,0.917188099142077,-2.68775367744348
P54793,0.543184017760293,-0.186648862516629,0.40522410770546,-1.13335856350361
