Protein,Cyto - Endo.C19,Cyto - GalT,Cyto - LAMT,Cyto - PM
Q7Z2K8,0.462828998737857,0.474781892139346,0.517798766293235,-1.14158046168508
Q7Z3T8,-0.990739526683921,-0.0842194278470291,-0.329597181982807,0.654172434232271
Q86SQ0,-0.0340315531228804,-0.622564882552392,-0.0615754595469359,-1.44502509974237
Q86T03,-1.87604249754419,-0.947195085289244,-3.87369568055198,-0.946968182280744
Q86VI3,0.185271442862946,-0.142047673513299,-0.0949899312008988,-1.09474271745472
Q86W92,-0.0440995426245306,-0.448475774037531,-0.263741363112531,-1.44710010007024
Q8IY95,-0.171957875984965,0.669575687251024,-2.96691235244964,0.0137553210320131
Q8N1F8,-0.308731978291457,0.220529077364677,-2.30380203461402,-0.288077948236156
Q8N4C8,0.174063143507483,-0.415198684301562,-0.095656831886917,-1.51679864661949
Q8TBA6,-0.0737668273960413,-1.58103630575681,-0.252913591207742,2.10200875143091
Q8TEQ0,-1.14478567874386,0.306512337953833,-0.928882444331912,0.362358049413188
Q8WXE0,-0.148267526295125,-0.179926166207058,0.703912732708754,-1.12120936202902
Q92692,-0.133435174865657,-1.10990192610626,-0.890843651201968,-2.33363454046818
Q969J3,-0.555076850814927,0.513820896827287,-2.68689464809028,0.732221250062941
Q96AC1,0.576170383798535,-0.0084473661175217,0.187770479615656,-0.678107065958244
Q96BM9,-0.743249822099377,-0.0415277846577205,-2.80342069257574,-0.072641631607176
Q96K37,0.109097561083715,-1.91953707149196,-0.46693909557812,0.766741404644292
Q96L92,-1.19004540381633,0.0250955387127873,-0.180282676664946,0.0746698338858427
Q96L93,-1.51430298088681,0.143987013976143,-1.14265531419527,-0.0465541712640561
Q96QK1,-1.33551912284685,-0.00461657305462765,-1.53321483017854,0.394522266111773
Q96RT1,0.247345744007647,-0.682034975765554,-0.000891331229275302,-1.51459845238704
Q96S38,-1.94919624438785,-0.375630908912058,-1.37002970454481,-0.349075645831158
Q96TA1,-0.0446061990801181,-0.955618868262319,-1.25517288635176,-2.04504458929121
Q99523,-2.25733906379538,-0.931444403439577,-2.10703782909928,0.819331685868476
Q99717,-0.618100049849347,-0.855334121648435,-0.816801292569758,-1.99621999587918
Q9BQS8,-0.74533863911657,0.28798174808592,-2.94280751561415,0.328182210911365
Q9BSR8,-0.568866226249137,-2.17759884718876,-0.888244473304537,0.93141675077106
Q9BYG4,0.0137347103916534,-0.695929180661503,-0.817066738494003,-1.9479144015919
Q9BZF9,0.160745622063653,0.0746600636021195,0.256091197882919,-0.751010024819391
Q9C0B5,0.289796064779967,-1.21440542146287,-0.178939020414468,-2.06136362376102
Q9H0W5,-0.0861253753732467,-0.399642458735647,1.39859670176614,-1.66328664699795
Q9H1K0,-1.45586727245218,0.236030519685274,-0.730253077533737,0.550515780652531
Q9H270,-1.10530832877899,0.1615394971691,-1.08533942550478,0.422887567470822
Q9H3P7,-0.0539727838802201,-1.97546992785334,0.17042894503258,1.37822794335298
Q9H3Q1,0.0587380398661139,-0.970309871419713,0.0418748002642188,-2.86631415034313
Q9H3S7,-1.39802785345196,-0.390700197030602,-1.01115687588935,0.783870695762798
Q9H7S9,1.46342469741344,1.48763690122148,1.83048141245335,1.56685827791687
Q9HB90,-0.374568617395544,0.450287719891556,-2.69599639061259,-0.13480507049171
Q9HD26,0.0602760008065827,-2.40140723115727,-0.423601333003207,0.473751526322071
Q9NR12,0.0836979856639359,0.262164366353414,0.244397675661025,-1.00210210351492
Q9NRW7,-1.08238594518719,0.0309710258762444,-0.749355599490601,0.663684805406089
Q9NVA2,0.469991559562869,-0.0188865996841204,0.227211020468802,-0.825239698484276
Q9NVA4,-2.10512252786043,-0.511318863582211,-4.4753907079554,-1.01052274566869
Q9NVJ2,-0.542834824870744,-0.00385359847215499,-3.28628182793385,-0.231706648546044
Q9NWQ8,-0.852306848196622,-1.72600928373908,-0.631445151521165,-2.81954312257172
Q9NZW5,0.377436086818047,-0.636359360685621,-0.167427785266299,-1.61335556298262
Q9P253,-1.02445972580921,0.348891877780933,-1.22164976467179,0.364015983794166
Q9UBQ0,-1.60948894300143,-0.1418841267625,-1.44612350649968,0.350780783512722
Q9UHA4,-0.861514027213726,0.0135032750820971,-2.90190294951948,-0.598436613914047
Q9UHD9,0.0478309635541004,-2.60559451002684,0.566887162737767,1.04360655838806
Q9UIW2,-0.277544775838066,-0.916249005365333,-1.38930008681268,-2.94454607465978
Q9UJU6,-0.274027221152113,0.0818290824749656,0.256735320148377,-0.996943914261436
Q9UKS6,-0.350711902937809,-0.783921306133987,0.00631771266827595,-1.87882285786165
Q9ULK5,0.430232519074739,-0.797031406179368,-0.141405424708168,-1.87198228151157
Q9UMY4,-3.31091917183513,0.211850625834879,-2.45173185420056,-0.247574325929998
Q9UNK0,-1.94397381778021,-1.1568677817544,-2.90135907910216,-0.361898296240677
Q9UQB8,-0.394342553694644,-1.22614534985085,0.276575764364457,-2.08268240789738
Q9Y2I1,-1.25574299094005,-0.154235195254433,-1.87883411626172,-0.525735295713377
Q9Y2J2,0.390446806422347,-0.624436191468598,-0.386411709329587,-1.85895960324298
Q9Y2Q5,-0.867086966156615,0.214749791885742,-2.57162218296459,-0.427168065389291
Q9Y5S2,0.0434967587565892,-0.217784466935089,-0.487291410676099,-1.34754956369686
Q9Y6N7,0.257578223810201,-1.26545621895654,0.0697071431509451,-1.96358429863499
