symbol,pvalue,gene,heat
CLPTM1,1,9606.ENSP00000336994,0
CLPX,0.444159512074989,9606.ENSP00000300107,0.352461032648921
CLTA,0.113573064113093,9606.ENSP00000242285,0.944724657129816
CLTB,1,9606.ENSP00000309415,0
CLTC,0.00671619588110683,9606.ENSP00000479606,2.1728766459403
CLUH,2.13824912775884e-06,9606.ENSP00000458986,5.66994169645755
CLYBL,0.93730683117995,9606.ENSP00000365533,0.028118217783351
CMAS,0.403702362574512,9606.ENSP00000229329,0.393938708974448
CMIP,2.61010897339986e-08,9606.ENSP00000446100,7.58334136026392
CMPK1,0.269804789754728,9606.ENSP00000360939,0.568950344710135
CMPK2,1.77635683940025e-15,9606.ENSP00000256722,14.7504697875351
CMTM3,0.138715280207791,9606.ENSP00000400482,0.857875696501253
CMTM6,0.00670559230266687,9606.ENSP00000205636,2.17356285503553
CMTM7,0.215327057546574,9606.ENSP00000335605,0.666901394213482
CMTR1,0.00287048105969134,9606.ENSP00000362550,2.54204531439423
CMYA5,0.0377562322774328,9606.ENSP00000394770,1.42301135078185
CNBP,1,9606.ENSP00000410769,0
CNDP2,1.49737999777244e-11,9606.ENSP00000325548,10.8246679725403
CNN2,0.655033728578075,9606.ENSP00000263097,0.183736337018587
CNNM3,0.852180731248735,9606.ENSP00000305449,0.0694682899043467
CNOT1,0.764054142616445,9606.ENSP00000320949,0.116875865237902
CNOT10,0.33969530476384,9606.ENSP00000399862,0.468910455865467
CNOT11,0.173757338253817,9606.ENSP00000289382,0.760056844891279
CNOT2,0.00224379239869777,9606.ENSP00000229195,2.6490173275722
CNOT3,0.957002886188005,9606.ENSP00000351159,0.019086752449244
CNP,0.00107217632954892,9606.ENSP00000377470,2.96973378492993
CNPY2,1,9606.ENSP00000273308,0
CNPY3,1,9606.ENSP00000361926,0
CNTNAP2,1,9606.ENSP00000354778,0
COA3,0.0035961693860398,9606.ENSP00000354762,2.44415986040658
COA7,0.9968762144817,9606.ENSP00000360593,0.00135876616692105
COASY,0.204182271476709,9606.ENSP00000464814,0.689981969076168
COG1,0.972845612884314,9606.ENSP00000299886,0.0119560752428439
COG2,1,9606.ENSP00000355629,0
COG3,1,9606.ENSP00000258654,0
COG4,0.34624264990724,9606.ENSP00000315775,0.460619437100371
COG5,0.184505627076566,9606.ENSP00000297135,0.733990384133454
COG6,1,9606.ENSP00000397441,0
COG8,0.0824469283971652,9606.ENSP00000305459,1.08382551958296
COL18A1,0.739776520897255,9606.ENSP00000347665,0.1308994564845
COL4A3BP,0.967719802055842,9606.ENSP00000369862,0.0142503720680472
COLGALT1,0.04054272670727,9606.ENSP00000252599,1.39208704611912
COMMD1,0.0736050774022965,9606.ENSP00000308236,1.13309222626382
COMMD10,1,9606.ENSP00000274458,0
COMMD2,0.630748352863715,9606.ENSP00000419475,0.200143874925542
COMMD3,1,9606.ENSP00000366032,0
COMMD4,0.758083382317665,9606.ENSP00000267935,0.120283023274471
