Protein,Cyto - Endo,Cyto - GalT,Cyto - LAMP1,Cyto - LAMTOR1,Cyto - PM
A4D1P6,-0.454031578083946,0.424725907445354,-1.29414401755078,-1.24313988100799,0.389906169285265
A4D1S0,-0.34835160365432,-0.732653080197842,0.210989382317635,-0.728673853981654,-1.87236430753478
A4D1U4,-1.69652675822884,-0.438471186498544,-2.49255446369529,-1.67772457725071,-0.213188943388866
A8MVW0,-0.170786495885334,-1.18465343316679,-0.442263300553823,-0.0755992304117445,-2.64010633142239
C4AMC7;Q6VEQ5,-1.08491790635197,0.587728716999332,-0.851036362714324,-1.55081471249587,0.464266134997999
C9J7I0,-0.305666744717044,0.279587222424068,-0.69442903785921,-1.42660905169875,0.159018237979501
O00161,-0.0619723234363874,-1.4579150814103,-1.22161640276582,-0.869197874316443,-2.61373449130241
O14745,0.26801059244159,-1.0474658671045,0.675877071056934,0.297792202548901,-2.12585641157489
O14964,-1.38722118438124,-0.493122195322455,0.163863328236111,-1.52024919086089,0.510683821216445
O15118,-0.54099791782427,-0.604077974813694,-4.38180277904378,-3.31701837261278,-1.05681802679282
O15400,-1.68185037603997,-1.39168429314519,-3.33581747156123,-3.22361470716607,-1.06218355209433
O43491,0.0535157459142891,-0.750795282394122,0.00644375197315544,-0.0875876633455108,-2.17522860749888
O43504,-1.16450410153208,0.534213590111255,-4.73673969477896,-4.5603291529215,-1.07678260574722
O43707,0.0355475325370007,-0.23518942477101,0.617450408705067,0.416502004564423,-1.6959378399718
O43759,-1.17097574540702,-0.671518877085721,-1.64911001506849,-2.22463062763207,1.44239895482263
O43760,-0.851372337755298,-0.412372887830554,-0.685806701700299,-1.64628469097193,1.42230247670732
O60245,0.1614854282419,-1.42345835055277,0.938582816597833,0.462527142952323,-2.47608881678832
O60331,0.393939210685779,-0.229152957291554,0.762448265772526,0.677658550002102,-1.431717199457
O60488,-0.324428780605178,-0.997774039663244,-0.944553673822978,-0.973608509246088,-2.16145278075394
O60493,-4.66666475146603,-0.477701506017922,-1.79492822902918,-3.840076141328,-0.489082024891567
O60637,-2.0933752149586,-1.06029604058108,-4.09926854485198,-5.17220571339478,-0.726108233250455
O60784,-0.470970002134555,0.0206206199422676,-1.73439971725947,-1.71815157539418,0.115349270932112
O75348,-0.352911169477066,0.335610284866167,-1.59531318604069,-1.14814653838852,0.5247019150264
O75695,0.0235409186629248,-0.927223638547431,-0.507815798179942,-0.0442290384145971,-2.44283798511536
O75781,0.437328672468872,-0.576550633367298,0.408524567644391,0.683839434423875,-3.44243027730492
O75886,-1.32486519313384,-0.48689479705671,0.0298628835597343,-1.55475518937541,0.477454688571923
O75955,-0.243170477149891,-1.00881097622479,-4.34545089000732,-1.67837928614462,-1.19643644377689
O95295,-0.142325167863033,0.444916571235189,-1.44535607669414,-1.50985560493053,0.353680482669701
O95297,-0.97267690039641,-1.89475248924903,0.0807163847540449,-1.34195134217465,-3.48707359973134
O95405,-1.74649084584783,-0.174014360233399,-0.40855239733291,-1.37793036482373,0.0734917022652234
P01111,-0.416515598958466,-1.15252732853424,-0.328072853224421,-0.686311998793932,-2.47315682000475
P02786,-2.76284273543869,-1.40157644059294,-0.793038508705153,-1.87422421609013,-1.01433610617111
P04626,0.0653991640162008,-0.773181109714011,0.259910118053156,0.34279111863389,-1.95044475240691
P05023,-0.101017277958531,-0.788110020746087,-0.132027395218609,-0.161401455633131,-1.86511322258634
P05026,-0.561195647849858,-1.57785730766084,-0.843188136459477,-0.693713411134099,-3.14853271814442
P05556,-0.0534596994695662,-1.0739865666602,-0.107579452278555,-0.492032699021299,-2.47258235633735
P05783,0.429430128634435,-0.00367058934166571,-0.720994125724643,-2.11213217062212,0.368083319618068
P05787,0.553058525433679,-0.354902726568999,-0.687112794542922,-2.17791727903939,0.234094089941968
P06213,-0.145519908270776,-1.11568490710182,-0.0709527732836428,-0.562146336685453,-2.83928762222605
P07947,-0.255726105137933,-1.68617752217155,-0.290670451616621,-0.53030763704751,-2.89516002643199
P07948,-0.40263615717762,-1.58568366345943,-0.406088865562031,-0.680790791319076,-2.74433935851942
P08069,-0.172752097357353,-1.54025658236616,-0.35666566282973,-0.648179648723452,-3.04808744533097
P08670,0.783329954127835,0.287543050635634,-1.36040142672549,0.177251509543869,0.828148640208146
